2020-05-27 14:54:15,708 weasyprint   WARNING  Ignored `height:calc(1.5em + .5rem + 2px)` at 6:26319, invalid value.
2020-05-27 14:54:15,709 weasyprint   WARNING  Ignored `height:calc(1.5em + 1rem + 2px)` at 6:26444, invalid value.
2020-05-27 14:54:15,709 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:26735, invalid value.
2020-05-27 14:54:15,710 weasyprint   WARNING  Ignored `display:-ms-inline-flexbox` at 6:27208, invalid value.
2020-05-27 14:54:15,713 weasyprint   WARNING  Invalid or unsupported selector '.is-valid~.valid-feedback,.is-valid~.valid-tooltip,.was-validated :valid~.valid-feedback,.was-validated :valid~.valid-tooltip', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,713 weasyprint   WARNING  Ignored `padding-right:calc(1.5em + .75rem)` at 6:27958, invalid value.
2020-05-27 14:54:15,714 weasyprint   WARNING  Ignored `background-position:right calc(.375em + .1875rem) center` at 6:28294, invalid value.
2020-05-27 14:54:15,714 weasyprint   WARNING  Ignored `background-size:calc(.75em + .375rem) calc(.75em + .375rem)` at 6:28351, invalid value.
2020-05-27 14:54:15,714 weasyprint   WARNING  Invalid or unsupported selector '.form-control.is-valid,.was-validated .form-control:valid', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,714 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.25)` at 6:28502, unknown property.
2020-05-27 14:54:15,714 weasyprint   WARNING  Invalid or unsupported selector '.form-control.is-valid:focus,.was-validated .form-control:valid:focus', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,715 weasyprint   WARNING  Ignored `padding-right:calc(1.5em + .75rem)` at 6:28619, invalid value.
2020-05-27 14:54:15,715 weasyprint   WARNING  Ignored `background-position:top calc(.375em + .1875rem) right calc(.375em + .1875rem)` at 6:28654, invalid value.
2020-05-27 14:54:15,715 weasyprint   WARNING  Ignored `padding-right:calc(.75em + 2.3125rem)` at 6:28813, invalid value.
2020-05-27 14:54:15,715 weasyprint   WARNING  Ignored `background:url("data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='4' height='5' viewBox='0 0 4 5'%3e%3cpath fill='%23343a40' d='M2 0L0 2h4zm0 5L0 3h4z'/%3e%3c/svg%3e") no-repeat right .75rem center/8px 10px,url("data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='8' height='8' viewBox='0 0 8 8'%3e%3cpath fill='%2328a745' d='M2.3 6.73L.6 4.53c-.4-1.04.46-1.4 1.1-.8l1.1 1.4 3.4-3.8c.6-.63 1.6-.27 1.2.7l-4 4.6c-.43.5-.8.4-1.1.1z'/%3e%3c/svg%3e") #fff no-repeat center right 1.75rem/calc(.75em + .375rem) calc(.75em + .375rem)` at 6:28851, invalid value.
2020-05-27 14:54:15,716 weasyprint   WARNING  Invalid or unsupported selector '.custom-select.is-valid,.was-validated .custom-select:valid', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,716 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.25)` at 6:29505, unknown property.
2020-05-27 14:54:15,716 weasyprint   WARNING  Invalid or unsupported selector '.custom-select.is-valid:focus,.was-validated .custom-select:valid:focus', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,716 weasyprint   WARNING  Invalid or unsupported selector '.form-check-input.is-valid~.form-check-label,.was-validated .form-check-input:valid~.form-check-label', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,717 weasyprint   WARNING  Invalid or unsupported selector '.form-check-input.is-valid~.valid-feedback,.form-check-input.is-valid~.valid-tooltip,.was-validated .form-check-input:valid~.valid-feedback,.was-validated .form-check-input:valid~.valid-tooltip', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,717 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-valid~.custom-control-label,.was-validated .custom-control-input:valid~.custom-control-label', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,717 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-valid~.custom-control-label::before,.was-validated .custom-control-input:valid~.custom-control-label::before', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,718 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-valid:checked~.custom-control-label::before,.was-validated .custom-control-input:valid:checked~.custom-control-label::before', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,718 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.25)` at 6:30501, unknown property.
2020-05-27 14:54:15,719 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-valid:focus:not(:checked)~.custom-control-label::before,.was-validated .custom-control-input:valid:focus:not(:checked)~.custom-control-label::before', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,719 weasyprint   WARNING  Invalid or unsupported selector '.custom-file-input.is-valid~.custom-file-label,.was-validated .custom-file-input:valid~.custom-file-label', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,720 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(40,167,69,.25)` at 6:31005, unknown property.
